chainId,dexId,baseToken-symbol,quoteToken-symbol,priceUsd,priceNative,liquidity-usd,liquidity-base,liquidity-quote,fdv
ethereum,fraxswap,FXS,FRAX,10.30,10.3098,46697038,2265913,23361237,1028600332.93
ethereum,uniswap,FXS,FRAX,10.31,10.3179,16741729,811732,8375420,1029409644.68
ethereum,uniswap,FXS,WETH,10.27,0.006159,3862039,297877,479.7,1025951696.97
ethereum,sushiswap,FXS,WETH,10.31,0.006183,3815859,184892,1143,1030088297.62
ethereum,uniswap,FXS,WETH,10.29,0.006166,150548,8767,36.15,1027211156.1
ethereum,uniswap,FXS,FRAX,10.25,10.2650,4018331,195833,2010281,1024129632.38
ethereum,uniswap,FXS,WETH,10.32,0.006181,294327,14256,88.12,1030475217.34
ethereum,uniswap,FXS,USDC,10.13,10.1352,12258,302.9,9186,1011734312.95
ethereum,solidlycom,frxETH,FXS,1633.99,159.5645,266929,81.68,13033,138824220.95
ethereum,fraxswap,FPI,FXS,1.060,0.1019,159860,75067,7656,87405507.17
ethereum,uniswap,FPIS,FXS,1.32,0.1300,38885,27842,189.1,132115737.09
ethereumpow,uniswap,FXS,WETH,0.00001547,0.000003493,1,45986,0.1606,1545.22
ethereumpow,sushiswap,FXS,WETH,0.00001557,0.000003513,2,55128,0.1936,1554.25
ethereum,uniswap,NEXO,WETH,0.7914,0.0004742,2492606,3061020,41.92,791447562.09
ethereum,uniswap,NEXO,WETH,0.7899,0.0004732,45231,28630,13.54,789918309.46
ethereum,uniswap,NEXO,USDC,0.7833,0.7833,1175,971,414.7,783377573.32
ethereum,uniswap,HEX,USDC,0.04120,0.04120,7519431,86410912,3958970,23948278014.76
ethereum,uniswap,HEX,WETH,0.04120,0.00002468,3027352,27622448,1131,23951614791.2
ethereum,uniswap,HEX,USDC,0.04123,0.04123,344996,4182820,172498,23969105425.43
ethereum,uniswap,HEX,WETH,0.04123,0.00002469,964368,11694428,288.8,23964611639.19
ethereum,uniswap,HDRN,HEX,0.000002351,0.00005574,3702593,366131082585,67365711,270823349.38
ethereum,uniswap,HDRN,HEX,0.000002356,0.00005597,1546443,328072620197,18364710,271449154.71
ethereum,uniswap,MAXI,HEX,0.05234,1.2409,361020,4581540,2873210,14371312.91
ethereum,uniswap,DECI,HEX,0.03506,0.8533,942866,19981919,5892777,19847484.62
ethereum,uniswap,HEX,WETH,0.04135,0.00002477,80430,1716106,5.671,24034051017.16
ethereum,uniswap,ICSA,HEX,0.8865,21.2836,327113,184485,3926515,1793723.95
ethereum,uniswap,LUCKY,HEX,0.03534,0.8563,69457,1583642,326882,2650066.6
ethereum,uniswap,HEX,DAI,0.04560,0.04560,239,2238,137,26507237615.54
ethereum,uniswap,PLSD,HEX,4.45,105.6553,50228,6938,457689,11860536.93
ethereum,uniswap,HEX,USDC,0.04179,0.04179,222586,3697125,68081,24289229894.59
ethereum,uniswap,HDRN,HEX,0.000002362,0.00005603,80545,15279074283,1054661,272044670.55
ethereum,uniswap,TRIO,HEX,0.04306,1.02170,65179,1211365,308615,2998281.61
ethereum,uniswap,BASE,HEX,0.04244,1.006300,300749,5499407,1595684,4246219.2
ethereum,uniswap,HEX,USDT,0.04228,0.04228,15099,169373,7937,24573974766.54
ethereum,uniswap,ICSA,HEX,0.8872,21.3579,22012,23738,22900,1795046.93
ethereum,uniswap,DRAK,HEX,3.69,87.5362,89754,12034,1074409,1230799.25
ethereum,uniswap,MAXI,HEX,0.05251,1.2450,31794,331063,341564,14418347.67
ethereum,solidlycom,HEX,WETH,0.04146,0.00002484,28445,343008,8.52,24099485092.61
ethereum,uniswap,BASE,HEX,0.04119,0.9774,45322,1089894,10004,4121070.85
ethereumpow,uniswap,HEX,WETH,0.0002598,0.00005854,21689,42868391,2377,151618102.03
ethereum,uniswap,ICSA,HEX,0.8468,21.1112,64191,30251,961610,1713359.26
ethereum,uniswap,TRIO,HEX,0.04146,1.01710,37580,575968,335910,2886969.13
ethereum,uniswap,COM,HEX,0.000000000009579,0.0000000002389,2769,144504969719701,34530,558075.67
ethereumpow,uniswap,HEX,WETH,0.0002581,0.00005818,17579,34045038,1980,150661466.19
ethereum,uniswap,MAXI,HEX,0.05219,1.2381,28789,275772,341452,14330464.19
ethereum,uniswap,HEX,DAI,0.04237,0.04237,10640,125548,5320,24628770627.2
ethereum,uniswap,CRV,WETH,1.080,0.0006505,2454932,1142179,727.3,2059854687.6
ethereum,uniswap,CRV,USDC,1.080,1.08460,650550,500151,108071,2056976018.93
ethereum,uniswap,CRV,WETH,1.080,0.0006505,1434680,1010465,206,2050136735.17
ethereum,sushiswap,CRV,WETH,1.080,0.0006509,501763,230949,150.3,2060158362.3
ethereum,uniswap,CRV,WETH,1.080,0.0006502,491608,226527,147.3,2057859470.6
ethereum,uniswap,cvxCRV,CRV,0.9399,0.8654,40672,40315,2556,271937850.44
ethereum,balancer,CRV,WETH,1.080,0.0006521,184814,85306,55.69,2052936742.9
ethereum,balancer,WBTC,CRV,23190.14,21226.1340,185626,3.985,85306,4096471990.52
ethereum,uniswap,CVX,CRV,6.45,5.9387,101935,9710,36120,627611752.95
ethereum,defiswap,CRV,WETH,1.080,0.0006516,55446,25480,16.6,2063448225.85
ethereum,uniswap,CRV,USDT,1.090,1.09950,3690,2109,1371,2085274943.77
ethereum,uniswap,CRV,UNI,1.090,0.1529,43472,19775,3023,2084523315.99
ethereum,uniswap,CRV,USDT,1.070,1.07400,7521,3501,3760,2036824257.02
ethereum,sushiswap,cvxCRV,CRV,0.9712,0.8656,48661,25050,21685,280990787.84
